"","freq","case","unique_id","freq_rank"
"86",0.00255885363357216,"watershed","030902060803",1
"112",0.00917010545621275,"watershed","050301030304",2
"106",0.0240863787375415,"watershed","041000060101",3
"41",0.0286600679568622,"watershed","030801021404",4
"19",0.0299127544661404,"watershed","030801011901",5
"96",0.0359231411862991,"watershed","031002020105",6
"104",0.0375739644970414,"watershed","031002081002",7
"66",0.0438851913477537,"watershed","030901011002",8
"16",0.0451075641915337,"watershed","030801011604",9
"105",0.0455777921239509,"watershed","031102060101",10
"78",0.0456385719543614,"watershed","030901011702",11
"42",0.0473420153714774,"watershed","030801021406",12
"52",0.0481082006505735,"watershed","030901010104",13
"50",0.050287106316339,"watershed","030901010101",14
"1",0.0518114428899561,"watershed","030801010202",15
"47",0.054652466367713,"watershed","030801030601",16
"20",0.0547714345902675,"watershed","030801011903",17
"57",0.0553631374220707,"watershed","030901010501",18
"7",0.0557921635434412,"watershed","030801011008",19
"121",0.0565080235907283,"watershed","050600011404",20
"51",0.0583038869257951,"watershed","030901010103",21
"6",0.0584518167456556,"watershed","030801010902",22
"75",0.0602716468590832,"watershed","030901011303",23
"2",0.0607886456450425,"watershed","030801010604",24
"25",0.0626712880864098,"watershed","030801020104",25
"69",0.0630944096497332,"watershed","030901011201",26
"21",0.0644521566683193,"watershed","030801012004",27
"103",0.0654362416107383,"watershed","031002081001",28
"63",0.0673785371062467,"watershed","030901010903",29
"62",0.0688058576504792,"watershed","030901010901",30
"14",0.0691997063142438,"watershed","030801011503",31
"46",0.0730906104571585,"watershed","030801030502",32
"40",0.0739929947460595,"watershed","030801021302",33
"85",0.0747663551401869,"watershed","030902060802",34
"108",0.0749863163656267,"watershed","041000080205",35
"13",0.0776461970455378,"watershed","030801011501",36
"53",0.0794857616809511,"watershed","030901010201",37
"67",0.0795277527260802,"watershed","030901011102",38
"91",0.0829299774120684,"watershed","031001010203",39
"54",0.0836086404066074,"watershed","030901010202",40
"113",0.0842332613390929,"watershed","050301030306",41
"12",0.0869486295153385,"watershed","030801011304",42
"36",0.0890483785220627,"watershed","030801020802",43
"95",0.0899821565128728,"watershed","031001020204",44
"80",0.0922112802148612,"watershed","030901011801",45
"93",0.0923076923076923,"watershed","031001010205",46
"73",0.0928196755479904,"watershed","030901011301",47
"126",0.0960987436632136,"watershed","050902020406",48
"4",0.0962534267438319,"watershed","030801010705",49
"58",0.0965958684899622,"watershed","030901010602",50
"123",0.0969387755102041,"watershed","050600030504",51
"17",0.0969393084717435,"watershed","030801011606",52
"117",0.0976253298153034,"watershed","050400030902",53
"3",0.0982486647621413,"watershed","030801010704",54
"5",0.100069948413045,"watershed","030801010707",55
"44",0.100964498255695,"watershed","030801030102",56
"77",0.105705598282955,"watershed","030901011701",57
"10",0.107245734544649,"watershed","030801011205",58
"23",0.110373019928462,"watershed","030801020101",59
"28",0.117315919837874,"watershed","030801020301",60
